"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PNCK",85.1867432085471,3.22453379926583,0.692907137827194,5.02245590420564e-08,7.23610820710117e-06
"SDC3",796.340948579618,1.07584174965083,0.222333776546171,5.03786542341974e-08,7.23610820710117e-06
"PPP1R14B",452.500483853836,0.730542821352633,0.148668697440513,5.3929459467174e-08,7.66372042087778e-06
"HK2",708.982979563851,3.2568837109461,0.711881007674011,5.86463139846588e-08,8.24628907586392e-06
"KANK1",1188.19067824166,-0.48225710960556,0.095462754785602,6.18789318681774e-08,8.56169019571245e-06
"MTA1",311.426203390536,-0.65011265942777,0.130482457184064,6.26736336673634e-08,8.56169019571245e-06
"ZNF362",395.545432217943,-0.859748328889474,0.173908708058291,6.28122203308744e-08,8.56169019571245e-06
"PAM",7108.69604830464,0.94105868252536,0.196866769649911,7.68544011927307e-08,1.03699100114394e-05
"PIK3AP1",2238.85954247213,0.967710911819444,0.203304868525928,8.23710779423233e-08,1.10031285915355e-05
"GATA2-AS1",297.886045214367,-0.763759617678568,0.156364321315957,9.01063805175358e-08,1.19172379302301e-05
"HTRA1",20013.9765194835,1.49083492183313,0.321216581375879,9.97137583016271e-08,1.30585919940503e-05
"TPI1",1190.3220537319,0.898628617553008,0.190451052218826,1.08986307568253e-07,1.41343601601624e-05
"CYP26A1",42.452849501933,3.71073057562825,0.820542261206684,1.18437671833946e-07,1.52124078880562e-05
"GPIHBP1",103.281992011697,1.9017791377084,0.416954857874594,1.217911995171e-07,1.53132150453361e-05
"PDZD7",40.7265612320853,2.51346182151055,0.550676299082638,1.22661626729373e-07,1.53132150453361e-05
"SCD",451.080555774729,1.89005179815883,0.415262593165078,1.21535330741842e-07,1.53132150453361e-05
"SCARB1",4885.64691344041,0.965061021114646,0.207155047802038,1.35558527047809e-07,1.67665815213392e-05
"TRAF3",392.331756426447,-0.767748281494783,0.159937515272793,1.3892087492644e-07,1.6870045884249e-05
"TRIM25",3282.2848534916,-0.588797547908556,0.121217400614622,1.37743046216343e-07,1.6870045884249e-05
