"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ICA1",110.168481596575,-1.06239360331864,0.334298828188663,0.000100881449796809,0.00269595973447312
"SMKR1",5.6298196202841,-2.08358408601254,0.65775878301331,0.000100321090523466,0.00269595973447312
"TIMP3",18105.9109819083,1.19153296650402,0.405266861849004,0.00010088357280153,0.00269595973447312
"GATA3-AS1",52.7977988071943,1.05565205976155,0.356780591951142,0.00010324034490964,0.00273627882401382
"AFAP1",918.66854657765,1.59196843694736,0.576294367866605,0.000105398221574374,0.00278242973081124
"MXRA5",149.14222280995,-1.5107876812844,0.477440699069892,0.000107674051842086,0.00280919918848943
"SLC1A6",30.9469443810332,4.08105104229094,1.65145000767456,0.000110305285627192,0.00283903276571876
"TRIM14",168.620882832217,1.54976435832319,0.564204889888414,0.000115142108987458,0.0029296538892466
"RASGRF1",65.2180091606975,1.19301814164651,0.418888139571705,0.000123594241338668,0.00307581964174991
"VTCN1",22.5362131148356,1.54887446610966,0.548793489407999,0.000126893682071341,0.00313747099407581
"FER1L5",96.8444584362986,1.08653494537492,0.381097349792447,0.000129904370429476,0.00318982091947967
"ASCL2",106.389343893503,2.36840213958123,0.95087551153741,0.000138723578548346,0.0033268753361738
"GALNT3",117.318252663778,1.14517034163143,0.408641555912844,0.000139246714235117,0.00333343657482561
"TNFAIP2",1391.60490849647,1.21108540004698,0.438586149124937,0.000139502797057171,0.00333359277833576
"SGPP2",8.11574598622108,2.18599621186482,0.718829260102633,0.000142598312864671,0.00338841103484231
"RALYL",9.67426308530775,-1.7885756051277,0.590541512982775,0.000153649310323374,0.00356327688767297
"RIMKLA",37.3791467757146,1.45861908471042,0.536618596348489,0.000154834028476522,0.00357832690724806
"NOG",198.144053570069,2.36755139463227,0.982356883506434,0.000164205286863487,0.0037623571559562
"ST8SIA6",22.8501308544808,1.35722100907839,0.48827622756356,0.000168193725923944,0.00383293911448991
"RASGRF2",571.37848240277,1.05722849150599,0.384159904677785,0.000168974982354559,0.00383872077260579
"PILRB",16.3311231650871,-1.57995085336633,0.527946855352238,0.000180630085808155,0.00402814137934113
"SLC1A1",49.7230324156279,-1.09538240830531,0.368017456699437,0.000187595861427997,0.00414199259000858
"TET3",1336.32387841959,1.10354588269825,0.411246581005833,0.000191595017275887,0.00420941815916331
"MXI1",553.249503037084,1.00858833748237,0.376963386445144,0.000215001314051277,0.00461734333295331
"HS3ST3A1",51.7292961310838,-1.03654518732684,0.355525513007406,0.000224547927427937,0.00476334657851302
"SSTR1",14.477125154545,-1.83351432159752,0.63443193488807,0.000225761625248121,0.00477171485769683
"SYNPO2L",30.9076767339954,-1.60522520065445,0.549766964626447,0.000225432077518764,0.00477171485769683
"BEST4",17.4662572848353,-1.09243344894133,0.379005750707929,0.000228870877935929,0.00480700815639644
"LRRC55",6.06552757479375,-1.57130286529933,0.556474406347263,0.000238188599615324,0.00496368691678862
"SLCO4A1",885.707423901997,2.35945208830336,1.0700941145653,0.000243968280822024,0.00506831772196049
"CLDN16",41.3139013803307,-1.91735889354153,0.653482521352346,0.000246264677383415,0.0050922655735103
"PART1",39.4717357096354,-1.49552578896254,0.524269291029972,0.000275763921733193,0.00553101271248047
"KIF12",10.282065110582,2.77120446828511,1.0830991816692,0.000282878037193467,0.00561902087259714
"CXCL8",48.4461867381992,1.81140037222771,0.769792974087809,0.00028766418563188,0.00569276769136392
"MACC1",101.857615586727,1.01759355047714,0.396788742586249,0.000299253686580155,0.0058699423573241
"ISLR2",9.24067387140127,3.1350493566138,1.21323483114716,0.000318663714486967,0.00616894652618184
"PTGER3",28.2089495467418,1.94289519401979,0.835453573917407,0.000318503658601008,0.00616894652618184
"NRIP1",3549.55563412584,1.34894931261852,0.566021856306378,0.000323698497325487,0.00623049643699403
"B3GNT7",110.501480949357,1.85359916493941,0.832031360445344,0.00033019946068484,0.00628963835321545
"ZNF300P1",39.1823319562199,1.15363789226455,0.463047133731487,0.000351591161531755,0.00661486582498758
