"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","muscle system process","21/309","356/13146",0.0589887640449438,2.50959965092178,4.48001303697296,0.000105217057642289,0.0148531413038365,0.0131936652543554,"SLC6A8/LEP/JPH2/SPX/NPNT/CALM1/KIT/KCNE1/ERRFI1/MYH13/TNNT1/JPH1/CACNA1D/FGF12/NPR3/NR4A3/DRD1/SULF1/TNNI2/SCN11A/SCN4B",21
"GO:0007605","sensory perception of sound","11/309","119/13146",0.092436974789916,3.93260993717876,4.98578263094806,0.000111889460155891,0.014935070268332,0.0132664406565467,"MYO7B/PDZD7/HEXB/KIT/KCNE1/PTPRQ/LRIG3/WHRN/MYO1A/CACNA1D/MYO3B",11
"GO:0060326","cell chemotaxis","16/309","231/13146",0.0692640692640693,2.94674904383642,4.63123180495678,0.000114613880453551,0.014935070268332,0.0132664406565467,"FLT1/ENG/TPBG/DUSP1/CCR5/VEGFC/KIT/BIN2/VEGFA/SLAMF1/CCRL2/CX3CR1/CXCL10/CXCL14/TREM1/CXCL1",16
"GO:0097553","calcium ion transmembrane import into cytosol","12/309","141/13146",0.0851063829787234,3.6207395166288,4.85406960507571,0.000122270558489731,0.0152174522788715,0.0135172733689472,"ERO1A/JPH2/CCR5/CALM1/JPH1/ITPR3/CACNA1D/SLC24A2/THY1/CXCL10/DRD1/TRPV5",12
"GO:0060004","reflex","4/309","12/13146",0.333333333333333,14.1812297734628,7.08721833207235,0.000127659630189501,0.0152174522788715,0.0135172733689472,"NPNT/NR4A3/SCN11A/ASCL1",4
"GO:2000147","positive regulation of cell motility","26/309","500/13146",0.052,2.21227184466019,4.28781655210423,0.000130255642292583,0.0152174522788715,0.0135172733689472,"FLT1/SASH1/CLDN1/IGSF8/SEMA4C/BCL6/PIK3CB/CGA/SCARB1/VEGFC/KIT/SYDE1/VEGFA/SRPX2/AQP1/SLAMF1/CX3CR1/NR4A3/THY1/FGF7/CXCL10/DRD1/PTGS2/SELE/MMP9/MYCNOS",26
"GO:1901890","positive regulation of cell junction assembly","9/309","84/13146",0.107142857142857,4.55825242718447,5.07573946537105,0.000152859727056883,0.0172629585089573,0.0153342441984431,"CLDN1/TPBG/NTRK2/VEGFA/SRPX2/LRRN3/THY1/FLRT3/LRRN1",9
"GO:0050890","cognition","16/309","241/13146",0.0663900414937759,2.82447729927889,4.43502166082656,0.000187021406376053,0.0200363166114588,0.0177977472168523,"TPBG/TNR/MME/GPR155/MGAT3/NTRK2/KIT/OPRK1/ADAM2/ITPR3/MAPK8IP2/NTF4/CHRM1/SLC24A2/DNAH11/DRD1",16
"GO:0042698","ovulation cycle","7/309","52/13146",0.134615384615385,5.72703510082151,5.29885572690542,0.000199947720751987,0.0200363166114588,0.0177977472168523,"LEP/INHBA/CGA/SLC26A6/NRIP1/OPRK1/GABRB1",7
"GO:0030335","positive regulation of cell migration","25/309","485/13146",0.0515463917525773,2.19297367630868,4.15332092425308,0.000201026728887722,0.0200363166114588,0.0177977472168523,"FLT1/SASH1/CLDN1/IGSF8/SEMA4C/PIK3CB/CGA/SCARB1/VEGFC/KIT/SYDE1/VEGFA/SRPX2/AQP1/SLAMF1/CX3CR1/NR4A3/THY1/FGF7/CXCL10/DRD1/PTGS2/SELE/MMP9/MYCNOS",25
"GO:0051606","detection of stimulus","13/309","171/13146",0.0760233918128655,3.2343155623687,4.56264465591364,0.000201072834943801,0.0200363166114588,0.0177977472168523,"ENG/PDZD7/SCARB1/CALM1/KIT/PTPRQ/WHRN/PKD1L2/OR51B5/OR51B4/NPFFR2/SLC24A2/SCN11A",13
